id,group,initial_state,input_type,user_text,expected_global_action,expected_primary_intent,expected_response_key,expected_handoff,notes
social_greeting-001,social_greeting,routed,text,Hola,continue,greeting,greeting_existing,false,
social_greeting-002,social_greeting,routed,text,holaa,continue,greeting,greeting_existing,false,
social_greeting-003,social_greeting,routed,text,Holis,continue,greeting,greeting_existing,false,
social_greeting-004,social_greeting,routed,text,Buenas,continue,greeting,greeting_existing,false,
social_greeting-005,social_greeting,routed,text,Buen día,continue,greeting,greeting_existing,false,
social_greeting-006,social_greeting,routed,text,Buenas tardes,continue,greeting,greeting_existing,false,
social_greeting-007,social_greeting,routed,text,Buenas noches,continue,greeting,greeting_existing,false,
social_greeting-008,social_greeting,routed,text,Hey,continue,greeting,greeting_existing,false,
social_greeting-009,social_greeting,routed,text,Hola doc,continue,greeting,greeting_existing,false,
social_greeting-010,social_greeting,routed,text,👋,continue,greeting,greeting_existing,false,
social_close-001,social_close,routed,text,Gracias,continue,thanks,thanks_close,false,
social_close-002,social_close,routed,text,gracias doc,continue,thanks,thanks_close,false,
social_close-003,social_close,routed,text,Listo gracias,continue,thanks,thanks_close,false,
social_close-004,social_close,routed,text,Perfecto,continue,thanks,thanks_close,false,
social_close-005,social_close,routed,text,Joya,continue,thanks,thanks_close,false,
social_close-006,social_close,routed,text,Buenísimo,continue,thanks,thanks_close,false,
social_close-007,social_close,routed,text,"Dale, muchas gracias",continue,thanks,thanks_close,false,
social_close-008,social_close,routed,text,Chau,continue,thanks,thanks_close,false,
social_close-009,social_close,routed,text,Hasta luego,continue,thanks,thanks_close,false,
social_close-010,social_close,routed,text,"Ya está, gracias",continue,thanks,thanks_close,false,
appointment_solved-001,appointment_solved,routed,text,"Gracias, ya conseguí turno",continue,appointment_already_solved,thanks_close,false,
appointment_solved-002,appointment_solved,routed,text,Ya saqué turno en otro lado,continue,appointment_already_solved,thanks_close,false,
appointment_solved-003,appointment_solved,routed,text,Ya me atendí,continue,appointment_already_solved,thanks_close,false,
appointment_solved-004,appointment_solved,routed,text,Conseguí turno finalmente,continue,appointment_already_solved,thanks_close,false,
appointment_solved-005,appointment_solved,routed,text,"No necesito más, ya tengo turno",continue,appointment_already_solved,thanks_close,false,
human_request-001,human_request,routed,text,Quiero hablar con una persona,handoff,unknown,human_handoff,true,
human_request-002,human_request,routed,text,Persona,handoff,unknown,human_handoff,true,
human_request-003,human_request,routed,text,Humano,handoff,unknown,human_handoff,true,
human_request-004,human_request,routed,text,Alguien,handoff,unknown,human_handoff,true,
human_request-005,human_request,routed,text,Prefiero una persona del equipo por favor,handoff,unknown,human_handoff,true,
human_request-006,human_request,routed,text,Necesito que me atienda alguien,handoff,unknown,human_handoff,true,
human_request-007,human_request,routed,text,¿Me comunica con secretaría?,handoff,unknown,human_handoff,true,
human_request-008,human_request,routed,text,Quiero hablar con recepción,handoff,unknown,human_handoff,true,
human_request-009,human_request,routed,text,¿Me pueden llamar?,handoff,unknown,human_handoff,true,
human_request-010,human_request,routed,text,No me estás entendiendo,handoff,unknown,human_handoff,true,
human_request-011,human_request,routed,text,Necesito ayuda de un operador,handoff,unknown,human_handoff,true,
human_request-012,human_request,routed,text,Pasame con un asesor,handoff,unknown,human_handoff,true,
human_request-013,human_request,routed,text,Quiero comunicarme con el consultorio,handoff,unknown,human_handoff,true,
